X-开头的字段是不属于任何标准的额外数据，邮件服务器和电子邮件客户端使用这些数据来提供发送电子邮件的额外信息,,,,
序号,字段名称,出现次数,字段内容举例,样本文件名
70,X-MS-Exchange-Organization-MessageDirectionality,135,['Originating'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
71,X-Spam-Checker-Version,122,['SpamAssassin 3.4.1 (2015-04-28) on dealer.fiat.pl'],../../testeml/064793f080b7ba3f9cbfb12ea2ab5eb5
72,X-MS-Oob-TLC-OOBClassifiers,122,['OLM:1728;'],../../testeml/109945fcff42fe4cec7996d3a5c7be45
73,X-TM-IMSS-Message-ID,117,['<0a613eab00001f3a@hlcorp.com>'],../../testeml/102733cac4ef64406511af243fb5dff0
74,X-TM-IMSS-BATV-Data,116,['o3SdLy3zS/x7XAE45B9L9gS2onEovDDL9jUGQ/MUs1M='],../../testeml/102733cac4ef64406511af243fb5dff0
75,X-PPP-Message-ID,114,['<20220111042629.3083.6666@phx-shared163.link3.net>'],../../testeml/102733cac4ef64406511af243fb5dff0
76,X-PPP-Vhost,114,['vnrfashion.com'],../../testeml/102733cac4ef64406511af243fb5dff0
77,X-MSMail-Priority,111,['Normal'],../../testeml/066156dedd95b5db4540283c847c55f0
79,x-eopattributedmessage,103,['0'],../../testeml/066156dedd95b5db4540283c847c55f0
80,X-MimeOLE,100,['Produced By Microsoft MimeOLE V16.4.3505.912'],../../testeml/092660fb9dadf3ac890e100196fd9399
81,X-OriginatorOrg,94,['accion.com.co'],../../testeml/109945fcff42fe4cec7996d3a5c7be45
82,X-SPAM-LEVEL,92,"['Spam detection results:  0\n\tAWL                    -1.049 Adjusted score from AWL reputation of From: address\n\tBAYES_00                 -1.9 Bayes spam probability is 0 to 1%\n\tKAM_DMARC_STATUS         0.01 Test Rule for DKIM or SPF Failure with Strict Alignment\n\tKAM_NUMSUBJECT            0.5 Subject ends in numbers excluding current years\n\tLOTS_OF_MONEY           0.001 Huge... sums of money\n\tRCVD_IN_DNSWL_HI           -5 Sender listed at https://www.dnswl.org/, high trust\n\tSPF_HELO_NONE           0.001 SPF: HELO does not publish an SPF Record\n\tSPF_SOFTFAIL            0.665 SPF: sender does not match SPF record (softfail)\n\tUNDISC_MONEY            3.096 Undisclosed recipients + money/fraud signs\n\tURIBL_BLOCKED           0.001 ADMINISTRATOR NOTICE: The query to URIBL was blocked.  See http://wiki.apache.org/spamassassin/DnsBlocklists#dnsbl-block for more information. [hdsunglass.com]']",../../testeml/102733cac4ef64406511af243fb5dff0
84,x-microsoft-antispam-message-info,88,['\n LqVeix9CAMVHbGAEXGeHA7jv3l5UTitOCU4Tn6WRk/3zTQBpPe+MaHemDfS0hd9vvhNCQ6Wuj44QvhxG9+MQyAHdGsEnVQ5xclmFJcrzZnggaSNLuAjOssqY/4DZwYTh0uM5oGWMuqtFtrg1b1Vn0rIv0qIU/Z94AZep1EbBXgoUsyHyyFy7IvCeegXRPH/s3KXFZGpCT9d9v9O1ORBJBEKvrmCJMcKdMdDxL03ZdOZxEVDkeix9vres+1YZ431Eu7SxKupUKtK9saOlMyw+52+1PyZPUCkVWE52x3KMcg2MALQ+7Wl3WNoF8yT6VFXafGEtm0OPBGsq7sDzVf70WpApVISwiD/dFeBpGZFBWrZwGmDGQw5CMnYBKJEw6fz6rmDHIXl9/VOKgUPhJUXN/QKGvQWeOYbgZqq14x1+C9Y='],../../testeml/097153b430f34825be591c425383f6fb
85,X-MS-Exchange-Transport-CrossTenantHeadersStripped,88,['\n SN1NAM02FT020.eop-nam02.prod.protection.outlook.com'],../../testeml/109945fcff42fe4cec7996d3a5c7be45
86,X-Microsoft-Antispam-Mailbox-Delivery,88,['\n ucf:0;jmr:0;auth:0;dest:I;ENG:(910001)(944506458)(944626604)(920097)(930097);'],../../testeml/121418c46a497976f2fdc83021d1e999
87,x-tmn,83,['[+8FaS4EuGGSThSIHFadUkd+TzBEztsUQ]'],../../testeml/097153b430f34825be591c425383f6fb
88,X-MS-Exchange-Organization-ExpirationInterval,83,['1:00:00:00.0000000'],../../testeml/121418c46a497976f2fdc83021d1e999
89,X-MS-Exchange-Organization-ExpirationIntervalReason,83,['OriginalSubmit'],../../testeml/121418c46a497976f2fdc83021d1e999
90,X-MS-Exchange-Organization-ExpirationStartTimeReason,83,['OriginalSubmit'],../../testeml/121418c46a497976f2fdc83021d1e999
91,X-MS-Exchange-Organization-ExpirationStartTime,83,['24 Jan 2022 17:17:24.4535\n (UTC)'],../../testeml/121418c46a497976f2fdc83021d1e999
92,x-ms-exchange-antispam-messagedata,82,['\n IPB7n1FKq3RjxHBN0ssdbahCjjKiFvxIWXsQpTYgtSLB88mbTOCRUuVDskUnfcBgaGiPHLraVj4IviTuH3pFr40Va9dczUGug+6oT6GJFeq//HBN8JZuH65k2UdsSBf+ldX5eK2Q9o0ubktz2J8JPQ=='],../../testeml/097153b430f34825be591c425383f6fb
93,X-MS-Exchange-CrossTenant-Network-Message-Id,80,['\n 42cb5a25-ab22-4247-795f-08d7378bc5b0'],../../testeml/145321db5632ba87da9c8becd7ea85d0
94,X-MS-Exchange-Organization-AuthMechanism,78,['04'],../../testeml/073487ecf94c8439af3a4a80a6f475f2
95,x-incomingheadercount,76,['41'],../../testeml/097153b430f34825be591c425383f6fb
96,x-incomingtopheadermarker,76,['\n OriginalChecksum:50129683A03B6AEC83706CD85065B89A21A8C9582FC4CA9DD64D2D3AB5158187;UpperCasedChecksum:B253A86B9CCA7E85EAE92EBD15DC005C6D7D9E198251F489B58CA64D1C33469F;SizeAsReceived:9565;Count:41'],../../testeml/097153b430f34825be591c425383f6fb
98,X-MS-Exchange-Organization-AVStamp-Enterprise,72,['1.0'],../../testeml/100952fc0e30ea322c27b5f841485260
99,X-MS-Exchange-CrossTenant-AuthAs,72,['Internal'],../../testeml/180669b7e28815da2b6f7f50a5b14f98
100,X-MS-Exchange-CrossTenant-AuthSource,72,['LO2P265MB5728.GBRP265.PROD.OUTLOOK.COM'],../../testeml/180669b7e28815da2b6f7f50a5b14f98
101,X-EopAttribution-RoutedToQuarantineCount,67,['0'],../../testeml/109945fcff42fe4cec7996d3a5c7be45
102,X-MS-Has-Attach,67,['yes'],../../testeml/133881c8d19f478cb056d79624fe794e
103,X-MS-Exchange-CrossTenant-FromEntityHeader,66,['HybridOnPrem'],../../testeml/145321db5632ba87da9c8becd7ea85d0
104,X-MS-Exchange-CrossTenant-OriginalArrivalTime,66,['12 Sep 2019 14:16:14.8689\n (UTC)'],../../testeml/145321db5632ba87da9c8becd7ea85d0
105,X-MS-Exchange-CrossTenant-Id,65,['491d83df-1091-40f8-bcf9-b112f9a35fcf'],../../testeml/145321db5632ba87da9c8becd7ea85d0
106,X-MS-Exchange-AtpMessageProperties,63,['SA|SL'],../../testeml/124394b21582d71d271c50c6ec69588d
107,X-Report-Abuse-To,62,['spam@se1-lax1.servconfig.com'],../../testeml/065348d536a6c15ea03b2ab8b170d769
108,X-TM-AS-GCONF,60,['11111111'],../../testeml/089995a216dfa38b36d630a02c0c7e45
109,X-Spam-Report,59,"['\n\t*  0.1 ZABOJCASPAMU_MANY_DIGITS_MAIL Email has many digits\n\t*  0.0 HEADER_FROM_DIFFERENT_DOMAINS From and EnvelopeFrom 2nd level mail\n\t*      domains are different\n\t*  1.6 RCVD_IN_BRBL_LASTEXT RBL: No description available.\n\t*      [87.224.213.45 listed in bb.barracudacentral.org]\n\t*  0.7 RCVD_IN_XBL RBL: Received via a relay in Spamhaus XBL\n\t*      [87.224.213.45 listed in zen.spamhaus.org]\n\t*  0.0 RCVD_IN_SORBS_DUL RBL: SORBS: sent directly from dynamic IP address\n\t*      [87.224.213.45 listed in dnsbl.sorbs.net]\n\t*  1.3 RCVD_IN_RP_RNBL RBL: Relay in RNBL,\n\t*      https://senderscore.org/blacklistlookup/\n\t*      [87.224.213.45 listed in bl.score.senderscore.com]\n\t* -0.0 RP_MATCHES_RCVD Envelope sender domain matches handover relay domain\n\t*  0.9 SPF_FAIL SPF: sender does not match SPF record (fail)\n\t*      [SPF failed: Please see http://www.openspf.org/Why?s=mfrom;id=9030103%40telenet.ru;ip=87.224.213.45;r=dealer.fiat.pl]\n\t*  0.0 SPF_HELO_FAIL SPF: HELO does not match SPF record (fail)\n\t*      [SPF failed: Please see http://www.openspf.org/Why?s=helo;id=telenet.ru;ip=87.224.213.45;r=dealer.fiat.pl]\n\t*  1.1 DCC_CHECK Detected as bulk mail by DCC (dcc-servers.net)\n\t*  0.0 ZABOJCASPAMU_BULK_SIGNATURE Mail ma bulk\n\t*  0.4 RDNS_DYNAMIC Delivered to internal network by host with\n\t*      dynamic-looking rDNS']",../../testeml/064793f080b7ba3f9cbfb12ea2ab5eb5
110,X-TERRACE-DUMMYSUBJECT,58,['Terrace Spam system                                  *'],../../testeml/072432f292aa0d051a634648703b1a1d
111,X-TERRACE-SID,56,['1575335851.834577.140660595336960.mail'],../../testeml/072432f292aa0d051a634648703b1a1d
112,X-AuthUser,54,['bdf2c178ac1@fa59c2f63099b8ac.br'],../../testeml/065630b637223de148b205a753e0193e
113,X-TERRACE-SPAMMARK,54,['NO       (SR:39.82)                     \n  (by Terrace)                                                  '],../../testeml/072432f292aa0d051a634648703b1a1d
115,x-ms-traffictypediagnostic,52,['CH2PR15MB3639:EE_'],../../testeml/066156dedd95b5db4540283c847c55f0
116,X-MDaemon-Deliver-To,52,['sales.i@motion-labs.com'],../../testeml/131388dab90817c48c3dd27a14d2cd42
117,X-RC-FROM,51,['<amministrazione@gambardellaservice.it>'],../../testeml/066082b7570ec68b42188b8386e9aa95
119,X-Return-Path,51,['no-reply@domain.com'],../../testeml/131388dab90817c48c3dd27a14d2cd42
120,X-MDRemoteIP,51,['162.241.214.233'],../../testeml/131388dab90817c48c3dd27a14d2cd42
121,X-Spam-Processed,51,"['mail.motion-labs.com, Tue, 25 Aug 2020 03:21:46 -0500']",../../testeml/131388dab90817c48c3dd27a14d2cd42
122,X-Auto-Response-Suppress,50,"['DR, OOF, AutoReply']",../../testeml/27a494c4c932e1c3d268fe5fe35195aa
